 server   | 2023-11-06 21:39:25,468 INFO     Starting UDP server on 127.0.0.1:7070
 server   | 2023-11-06 21:39:25,468 INFO     Waiting for any client to register...
 server   | 2023-11-06 21:39:27,354 INFO     Registered client 127.0.0.1:59756
 server   | 2023-11-06 21:39:27,470 INFO     Streaming started
 server   | 2023-11-06 21:39:27,470 DEBUG    Sent message '1 3735' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:27,570 DEBUG    Sent message '2 3698' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:27,671 DEBUG    Sent message '3 3594' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:27,771 DEBUG    Sent message '4 3680' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:27,871 DEBUG    Sent message '5 3738' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:27,971 DEBUG    Sent message '6 3684' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:28,072 DEBUG    Sent message '7 3661' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:28,172 DEBUG    Sent message '8 3499' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:28,272 DEBUG    Sent message '9 3623' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:28,373 DEBUG    Sent message '10 3637' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:28,473 DEBUG    Sent message '11 3608' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:28,573 DEBUG    Sent message '12 3555' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:28,673 DEBUG    Sent message '13 3620' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:28,774 DEBUG    Sent message '14 3596' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:28,874 DEBUG    Sent message '15 3650' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:28,974 DEBUG    Sent message '16 3481' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:29,074 DEBUG    Sent message '17 3519' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:29,175 DEBUG    Sent message '18 3502' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:29,275 DEBUG    Sent message '19 3537' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:29,375 DEBUG    Sent message '20 3582' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:29,475 DEBUG    Sent message '21 3615' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:29,576 DEBUG    Sent message '22 3546' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:29,676 DEBUG    Sent message '23 3496' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:29,776 DEBUG    Sent message '24 3660' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:29,877 DEBUG    Sent message '25 3837' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:29,977 DEBUG    Sent message '26 3763' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:30,077 DEBUG    Sent message '27 3773' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:30,178 DEBUG    Sent message '28 3570' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:30,278 DEBUG    Sent message '29 3713' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:30,378 DEBUG    Sent message '30 3860' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:30,478 DEBUG    Sent message '31 4003' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:30,578 DEBUG    Sent message '32 3871' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:30,679 DEBUG    Sent message '33 3644' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:30,779 DEBUG    Sent message '34 3619' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:30,879 DEBUG    Sent message '35 3511' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:30,980 DEBUG    Sent message '36 3604' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:31,080 DEBUG    Sent message '37 3670' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:31,180 DEBUG    Sent message '38 3703' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:31,280 DEBUG    Sent message '39 3711' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:31,381 DEBUG    Sent message '40 3709' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:31,481 DEBUG    Sent message '41 3682' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:31,581 DEBUG    Sent message '42 3919' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:31,682 DEBUG    Sent message '43 4006' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:31,782 DEBUG    Sent message '44 3870' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:31,882 DEBUG    Sent message '45 3675' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:31,983 DEBUG    Sent message '46 3585' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:32,083 DEBUG    Sent message '47 3743' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:32,183 DEBUG    Sent message '48 3507' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:32,283 DEBUG    Sent message '49 3438' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:32,384 DEBUG    Sent message '50 3540' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:32,484 DEBUG    Sent message '51 3833' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:32,584 DEBUG    Sent message '52 3668' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:32,684 DEBUG    Sent message '53 3844' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:32,785 DEBUG    Sent message '54 3848' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:32,885 DEBUG    Sent message '55 4119' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:32,985 DEBUG    Sent message '56 4108' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:33,086 DEBUG    Sent message '57 3947' to 127.0.0.1:59756
 server   | 2023-11-06 21:39:33,186 DEBUG    Sent message '58 3920' to 127.0.0.1:59756
