 client 1 | 2023-11-06 21:45:47,868 INFO     Starting UDP client 1
 client 1 | 2023-11-06 21:45:47,868 INFO     Sent register message to server 127.0.0.1:7070
 client 1 | 2023-11-06 21:45:48,635 DEBUG    Received packet 1: 3735
 client 1 | 2023-11-06 21:45:48,735 DEBUG    Received packet 2: 3698
 client 1 | 2023-11-06 21:45:48,835 DEBUG    Received packet 3: 3594
 client 1 | 2023-11-06 21:45:48,935 DEBUG    Received packet 4: 3680
 client 1 | 2023-11-06 21:45:49,036 DEBUG    Received packet 5: 3738
 client 1 | 2023-11-06 21:45:49,136 DEBUG    Received packet 6: 3684
 client 1 | 2023-11-06 21:45:49,236 DEBUG    Received packet 7: 3661
 client 1 | 2023-11-06 21:45:49,337 DEBUG    Received packet 8: 3499
 client 1 | 2023-11-06 21:45:49,437 DEBUG    Received packet 9: 3623
 client 1 | 2023-11-06 21:45:49,537 DEBUG    Received packet 10: 3637
 client 1 | 2023-11-06 21:45:49,638 DEBUG    Received packet 11: 3608
 client 1 | 2023-11-06 21:45:49,738 DEBUG    Received packet 12: 3555
 client 1 | 2023-11-06 21:45:49,838 DEBUG    Received packet 13: 3620
 client 1 | 2023-11-06 21:45:49,939 DEBUG    Received packet 14: 3596
 client 1 | 2023-11-06 21:45:50,039 DEBUG    Received packet 15: 3650
 client 1 | 2023-11-06 21:45:50,139 DEBUG    Received packet 16: 3481
 client 1 | 2023-11-06 21:45:50,239 DEBUG    Received packet 17: 3519
 client 1 | 2023-11-06 21:45:50,340 DEBUG    Received packet 18: 3502
 client 1 | 2023-11-06 21:45:50,440 DEBUG    Received packet 19: 3537
 client 1 | 2023-11-06 21:45:50,540 DEBUG    Received packet 20: 3582
 client 1 | 2023-11-06 21:45:50,641 DEBUG    Received packet 21: 3615
 client 1 | 2023-11-06 21:45:50,741 DEBUG    Received packet 22: 3546
 client 1 | 2023-11-06 21:45:50,841 DEBUG    Received packet 23: 3496
 client 1 | 2023-11-06 21:45:50,941 DEBUG    Received packet 24: 3660
 client 1 | 2023-11-06 21:45:51,042 DEBUG    Received packet 25: 3837
 client 1 | 2023-11-06 21:45:51,142 DEBUG    Received packet 26: 3763
 client 1 | 2023-11-06 21:45:51,242 DEBUG    Received packet 27: 3773
 client 1 | 2023-11-06 21:45:51,343 DEBUG    Received packet 28: 3570
 client 1 | 2023-11-06 21:45:51,443 DEBUG    Received packet 29: 3713
 client 1 | 2023-11-06 21:45:51,543 DEBUG    Received packet 30: 3860
 client 1 | 2023-11-06 21:45:51,643 DEBUG    Received packet 31: 4003
 client 1 | 2023-11-06 21:45:51,744 DEBUG    Received packet 32: 3871
 client 1 | 2023-11-06 21:45:51,844 DEBUG    Received packet 33: 3644
 client 1 | 2023-11-06 21:45:51,944 DEBUG    Received packet 34: 3619
 client 1 | 2023-11-06 21:45:52,044 DEBUG    Received packet 35: 3511
 client 1 | 2023-11-06 21:45:52,145 DEBUG    Received packet 36: 3604
 client 1 | 2023-11-06 21:45:52,245 DEBUG    Received packet 37: 3670
 client 1 | 2023-11-06 21:45:52,345 DEBUG    Received packet 38: 3703
 client 1 | 2023-11-06 21:45:52,446 DEBUG    Received packet 39: 3711
 client 1 | 2023-11-06 21:45:52,546 DEBUG    Received packet 40: 3709
