 client 1 | 2023-11-06 21:48:43,954 INFO     Starting UDP client 1
 client 1 | 2023-11-06 21:48:43,955 INFO     Sent register message to server 127.0.0.1:7070
 client 1 | 2023-11-06 21:48:44,834 DEBUG    Received packet 1: 3735
 client 1 | 2023-11-06 21:48:44,934 DEBUG    Received packet 2: 3698
 client 1 | 2023-11-06 21:48:45,034 DEBUG    Received packet 3: 3594
 client 1 | 2023-11-06 21:48:45,135 DEBUG    Received packet 4: 3680
 client 1 | 2023-11-06 21:48:45,235 DEBUG    Received packet 5: 3738
 client 1 | 2023-11-06 21:48:45,335 DEBUG    Received packet 6: 3684
 client 1 | 2023-11-06 21:48:45,436 DEBUG    Received packet 7: 3661
 client 1 | 2023-11-06 21:48:45,536 DEBUG    Received packet 8: 3499
 client 1 | 2023-11-06 21:48:45,636 DEBUG    Received packet 9: 3623
 client 1 | 2023-11-06 21:48:45,736 DEBUG    Received packet 10: 3637
 client 1 | 2023-11-06 21:48:45,837 DEBUG    Received packet 11: 3608
 client 1 | 2023-11-06 21:48:45,937 DEBUG    Received packet 12: 3555
 client 1 | 2023-11-06 21:48:46,037 DEBUG    Received packet 13: 3620
 client 1 | 2023-11-06 21:48:46,138 DEBUG    Received packet 14: 3596
 client 1 | 2023-11-06 21:48:46,238 DEBUG    Received packet 15: 3650
 client 1 | 2023-11-06 21:48:46,338 DEBUG    Received packet 16: 3481
 client 1 | 2023-11-06 21:48:46,438 DEBUG    Received packet 17: 3519
 client 1 | 2023-11-06 21:48:46,539 DEBUG    Received packet 18: 3502
 client 1 | 2023-11-06 21:48:46,639 DEBUG    Received packet 19: 3537
 client 1 | 2023-11-06 21:48:46,739 DEBUG    Received packet 20: 3582
 client 1 | 2023-11-06 21:48:46,840 DEBUG    Received packet 21: 3615
 client 1 | 2023-11-06 21:48:46,940 DEBUG    Received packet 22: 3546
 client 1 | 2023-11-06 21:48:47,040 DEBUG    Received packet 23: 3496
 client 1 | 2023-11-06 21:48:47,140 DEBUG    Received packet 24: 3660
 client 1 | 2023-11-06 21:48:47,241 DEBUG    Received packet 25: 3837
 client 1 | 2023-11-06 21:48:47,341 DEBUG    Received packet 26: 3763
 client 1 | 2023-11-06 21:48:47,441 DEBUG    Received packet 27: 3773
 client 1 | 2023-11-06 21:48:47,542 DEBUG    Received packet 28: 3570
 client 1 | 2023-11-06 21:48:47,642 DEBUG    Received packet 29: 3713
 client 1 | 2023-11-06 21:48:47,742 DEBUG    Received packet 30: 3860
 client 1 | 2023-11-06 21:48:47,843 DEBUG    Received packet 31: 4003
 client 1 | 2023-11-06 21:48:47,943 DEBUG    Received packet 32: 3871
 client 1 | 2023-11-06 21:48:48,043 DEBUG    Received packet 33: 3644
 client 1 | 2023-11-06 21:48:48,143 DEBUG    Received packet 34: 3619
 client 2 | 2023-11-06 21:48:48,159 INFO     Starting UDP client 2
 client 2 | 2023-11-06 21:48:48,159 INFO     Sent register message to server 127.0.0.1:7070
 client 1 | 2023-11-06 21:48:48,244 DEBUG    Received packet 35: 3511
 client 2 | 2023-11-06 21:48:48,244 DEBUG    Received packet 35: 3511
 client 1 | 2023-11-06 21:48:48,344 DEBUG    Received packet 36: 3604
 client 2 | 2023-11-06 21:48:48,344 DEBUG    Received packet 36: 3604
 client 1 | 2023-11-06 21:48:48,444 DEBUG    Received packet 37: 3670
 client 2 | 2023-11-06 21:48:48,445 DEBUG    Received packet 37: 3670
 client 1 | 2023-11-06 21:48:48,545 DEBUG    Received packet 38: 3703
 client 2 | 2023-11-06 21:48:48,545 DEBUG    Received packet 38: 3703
 client 1 | 2023-11-06 21:48:48,645 DEBUG    Received packet 39: 3711
 client 2 | 2023-11-06 21:48:48,645 DEBUG    Received packet 39: 3711
 client 1 | 2023-11-06 21:48:48,746 DEBUG    Received packet 40: 3709
 client 2 | 2023-11-06 21:48:48,746 DEBUG    Received packet 40: 3709
 client 1 | 2023-11-06 21:48:48,846 DEBUG    Received packet 41: 3682
 client 2 | 2023-11-06 21:48:48,846 DEBUG    Received packet 41: 3682
 client 1 | 2023-11-06 21:48:48,946 DEBUG    Received packet 42: 3919
 client 2 | 2023-11-06 21:48:48,946 DEBUG    Received packet 42: 3919
 client 1 | 2023-11-06 21:48:49,047 DEBUG    Received packet 43: 4006
 client 2 | 2023-11-06 21:48:49,047 DEBUG    Received packet 43: 4006
 client 1 | 2023-11-06 21:48:49,147 DEBUG    Received packet 44: 3870
 client 2 | 2023-11-06 21:48:49,147 DEBUG    Received packet 44: 3870
 client 1 | 2023-11-06 21:48:49,247 DEBUG    Received packet 45: 3675
 client 2 | 2023-11-06 21:48:49,247 DEBUG    Received packet 45: 3675
 client 1 | 2023-11-06 21:48:49,348 DEBUG    Received packet 46: 3585
 client 2 | 2023-11-06 21:48:49,348 DEBUG    Received packet 46: 3585
 client 1 | 2023-11-06 21:48:49,448 DEBUG    Received packet 47: 3743
 client 2 | 2023-11-06 21:48:49,448 DEBUG    Received packet 47: 3743
 client 1 | 2023-11-06 21:48:49,548 DEBUG    Received packet 48: 3507
 client 2 | 2023-11-06 21:48:49,549 DEBUG    Received packet 48: 3507
 client 1 | 2023-11-06 21:48:49,649 DEBUG    Received packet 49: 3438
 client 2 | 2023-11-06 21:48:49,649 DEBUG    Received packet 49: 3438
 client 1 | 2023-11-06 21:48:49,749 DEBUG    Received packet 50: 3540
 client 2 | 2023-11-06 21:48:49,749 DEBUG    Received packet 50: 3540
 client 1 | 2023-11-06 21:48:49,850 DEBUG    Received packet 51: 3833
 client 2 | 2023-11-06 21:48:49,850 DEBUG    Received packet 51: 3833
 client 1 | 2023-11-06 21:48:49,950 DEBUG    Received packet 52: 3668
 client 2 | 2023-11-06 21:48:49,950 DEBUG    Received packet 52: 3668
 client 1 | 2023-11-06 21:48:50,050 DEBUG    Received packet 53: 3844
 client 2 | 2023-11-06 21:48:50,050 DEBUG    Received packet 53: 3844
 client 1 | 2023-11-06 21:48:50,151 DEBUG    Received packet 54: 3848
 client 2 | 2023-11-06 21:48:50,151 DEBUG    Received packet 54: 3848
 client 1 | 2023-11-06 21:48:50,251 DEBUG    Received packet 55: 4119
 client 2 | 2023-11-06 21:48:50,251 DEBUG    Received packet 55: 4119
 client 1 | 2023-11-06 21:48:50,351 DEBUG    Received packet 56: 4108
 client 2 | 2023-11-06 21:48:50,352 DEBUG    Received packet 56: 4108
 client 1 | 2023-11-06 21:48:50,452 DEBUG    Received packet 57: 3947
 client 2 | 2023-11-06 21:48:50,452 DEBUG    Received packet 57: 3947
 client 1 | 2023-11-06 21:48:50,552 DEBUG    Received packet 58: 3920
 client 2 | 2023-11-06 21:48:50,552 DEBUG    Received packet 58: 3920
 client 1 | 2023-11-06 21:48:50,653 DEBUG    Received packet 59: 3863
 client 2 | 2023-11-06 21:48:50,653 DEBUG    Received packet 59: 3863
 client 1 | 2023-11-06 21:48:50,753 DEBUG    Received packet 60: 3954
 client 2 | 2023-11-06 21:48:50,753 DEBUG    Received packet 60: 3954
 client 1 | 2023-11-06 21:48:50,853 DEBUG    Received packet 61: 3959
 client 2 | 2023-11-06 21:48:50,853 DEBUG    Received packet 61: 3959
 client 1 | 2023-11-06 21:48:50,954 DEBUG    Received packet 62: 3902
 client 2 | 2023-11-06 21:48:50,954 DEBUG    Received packet 62: 3902
 client 1 | 2023-11-06 21:48:51,054 DEBUG    Received packet 63: 3763
 client 2 | 2023-11-06 21:48:51,054 DEBUG    Received packet 63: 3763
 client 1 | 2023-11-06 21:48:51,154 DEBUG    Received packet 64: 3904
 client 2 | 2023-11-06 21:48:51,154 DEBUG    Received packet 64: 3904
 client 1 | 2023-11-06 21:48:51,255 DEBUG    Received packet 65: 4070
 client 2 | 2023-11-06 21:48:51,255 DEBUG    Received packet 65: 4070
 client 1 | 2023-11-06 21:48:51,355 DEBUG    Received packet 66: 4127
 client 2 | 2023-11-06 21:48:51,355 DEBUG    Received packet 66: 4127
 client 1 | 2023-11-06 21:48:51,455 DEBUG    Received packet 67: 3927
 client 2 | 2023-11-06 21:48:51,456 DEBUG    Received packet 67: 3927
 client 1 | 2023-11-06 21:48:51,556 DEBUG    Received packet 68: 3946
 client 2 | 2023-11-06 21:48:51,556 DEBUG    Received packet 68: 3946
 client 1 | 2023-11-06 21:48:51,656 DEBUG    Received packet 69: 4113
 client 2 | 2023-11-06 21:48:51,656 DEBUG    Received packet 69: 4113
 client 1 | 2023-11-06 21:48:51,757 DEBUG    Received packet 70: 4055
 client 2 | 2023-11-06 21:48:51,757 DEBUG    Received packet 70: 4055
 client 1 | 2023-11-06 21:48:51,857 DEBUG    Received packet 71: 4036
 client 2 | 2023-11-06 21:48:51,857 DEBUG    Received packet 71: 4036
 client 1 | 2023-11-06 21:48:51,957 DEBUG    Received packet 72: 3864
 client 2 | 2023-11-06 21:48:51,957 DEBUG    Received packet 72: 3864
 client 1 | 2023-11-06 21:48:52,058 DEBUG    Received packet 73: 3661
 client 2 | 2023-11-06 21:48:52,058 DEBUG    Received packet 73: 3661
 client 1 | 2023-11-06 21:48:52,158 DEBUG    Received packet 74: 3600
 client 2 | 2023-11-06 21:48:52,158 DEBUG    Received packet 74: 3600
 client 1 | 2023-11-06 21:48:52,258 DEBUG    Received packet 75: 3697
 client 2 | 2023-11-06 21:48:52,258 DEBUG    Received packet 75: 3697
 client 1 | 2023-11-06 21:48:52,359 DEBUG    Received packet 76: 3579
 client 2 | 2023-11-06 21:48:52,359 DEBUG    Received packet 76: 3579
 client 1 | 2023-11-06 21:48:52,459 DEBUG    Received packet 77: 3519
 client 2 | 2023-11-06 21:48:52,459 DEBUG    Received packet 77: 3519
 client 1 | 2023-11-06 21:48:52,559 DEBUG    Received packet 78: 3636
 client 2 | 2023-11-06 21:48:52,559 DEBUG    Received packet 78: 3636
 client 1 | 2023-11-06 21:48:52,660 DEBUG    Received packet 79: 3623
 client 2 | 2023-11-06 21:48:52,660 DEBUG    Received packet 79: 3623
 client 1 | 2023-11-06 21:48:52,760 DEBUG    Received packet 80: 3572
 client 2 | 2023-11-06 21:48:52,760 DEBUG    Received packet 80: 3572
 client 1 | 2023-11-06 21:48:52,860 DEBUG    Received packet 81: 3689
 client 2 | 2023-11-06 21:48:52,861 DEBUG    Received packet 81: 3689
 client 1 | 2023-11-06 21:48:52,961 DEBUG    Received packet 82: 3929
 client 2 | 2023-11-06 21:48:52,961 DEBUG    Received packet 82: 3929
 client 1 | 2023-11-06 21:48:53,061 DEBUG    Received packet 83: 4028
 client 2 | 2023-11-06 21:48:53,061 DEBUG    Received packet 83: 4028
 client 1 | 2023-11-06 21:48:53,161 DEBUG    Received packet 84: 4052
 client 2 | 2023-11-06 21:48:53,162 DEBUG    Received packet 84: 4052
 client 1 | 2023-11-06 21:48:53,262 DEBUG    Received packet 85: 4018
 client 2 | 2023-11-06 21:48:53,262 DEBUG    Received packet 85: 4018
 client 1 | 2023-11-06 21:48:53,362 DEBUG    Received packet 86: 3740
 client 2 | 2023-11-06 21:48:53,362 DEBUG    Received packet 86: 3740
 client 1 | 2023-11-06 21:48:53,463 DEBUG    Received packet 87: 3793
 client 2 | 2023-11-06 21:48:53,463 DEBUG    Received packet 87: 3793
 client 1 | 2023-11-06 21:48:53,563 DEBUG    Received packet 88: 3744
 client 2 | 2023-11-06 21:48:53,563 DEBUG    Received packet 88: 3744
 client 1 | 2023-11-06 21:48:53,663 DEBUG    Received packet 89: 3771
 client 2 | 2023-11-06 21:48:53,663 DEBUG    Received packet 89: 3771
 client 1 | 2023-11-06 21:48:53,764 DEBUG    Received packet 90: 3687
 client 2 | 2023-11-06 21:48:53,764 DEBUG    Received packet 90: 3687
 client 1 | 2023-11-06 21:48:53,864 DEBUG    Received packet 91: 3677
 client 2 | 2023-11-06 21:48:53,864 DEBUG    Received packet 91: 3677
 client 1 | 2023-11-06 21:48:53,964 DEBUG    Received packet 92: 3625
 client 2 | 2023-11-06 21:48:53,965 DEBUG    Received packet 92: 3625
 client 1 | 2023-11-06 21:48:54,065 DEBUG    Received packet 93: 3669
 client 2 | 2023-11-06 21:48:54,065 DEBUG    Received packet 93: 3669
 client 1 | 2023-11-06 21:48:54,165 DEBUG    Received packet 94: 3897
 client 2 | 2023-11-06 21:48:54,165 DEBUG    Received packet 94: 3897
 client 1 | 2023-11-06 21:48:54,266 DEBUG    Received packet 95: 4023
