 server   | 2023-11-06 21:48:40,829 INFO     Starting UDP server on 127.0.0.1:7070
 server   | 2023-11-06 21:48:40,830 INFO     Waiting for any client to register...
 server   | 2023-11-06 21:48:43,955 INFO     Registered client 127.0.0.1:51549
 server   | 2023-11-06 21:48:44,834 INFO     Streaming started
 server   | 2023-11-06 21:48:44,834 DEBUG    Sent message '1 3735' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:44,934 DEBUG    Sent message '2 3698' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:45,034 DEBUG    Sent message '3 3594' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:45,135 DEBUG    Sent message '4 3680' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:45,235 DEBUG    Sent message '5 3738' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:45,335 DEBUG    Sent message '6 3684' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:45,435 DEBUG    Sent message '7 3661' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:45,536 DEBUG    Sent message '8 3499' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:45,636 DEBUG    Sent message '9 3623' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:45,736 DEBUG    Sent message '10 3637' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:45,837 DEBUG    Sent message '11 3608' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:45,937 DEBUG    Sent message '12 3555' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:46,037 DEBUG    Sent message '13 3620' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:46,138 DEBUG    Sent message '14 3596' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:46,238 DEBUG    Sent message '15 3650' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:46,338 DEBUG    Sent message '16 3481' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:46,438 DEBUG    Sent message '17 3519' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:46,539 DEBUG    Sent message '18 3502' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:46,639 DEBUG    Sent message '19 3537' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:46,739 DEBUG    Sent message '20 3582' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:46,840 DEBUG    Sent message '21 3615' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:46,940 DEBUG    Sent message '22 3546' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:47,040 DEBUG    Sent message '23 3496' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:47,140 DEBUG    Sent message '24 3660' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:47,241 DEBUG    Sent message '25 3837' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:47,341 DEBUG    Sent message '26 3763' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:47,441 DEBUG    Sent message '27 3773' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:47,542 DEBUG    Sent message '28 3570' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:47,642 DEBUG    Sent message '29 3713' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:47,742 DEBUG    Sent message '30 3860' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:47,842 DEBUG    Sent message '31 4003' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:47,943 DEBUG    Sent message '32 3871' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:48,043 DEBUG    Sent message '33 3644' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:48,143 DEBUG    Sent message '34 3619' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:48,159 INFO     Registered client 127.0.0.1:54730
 server   | 2023-11-06 21:48:48,244 DEBUG    Sent message '35 3511' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:48,244 DEBUG    Sent message '35 3511' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:48,344 DEBUG    Sent message '36 3604' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:48,344 DEBUG    Sent message '36 3604' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:48,444 DEBUG    Sent message '37 3670' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:48,445 DEBUG    Sent message '37 3670' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:48,545 DEBUG    Sent message '38 3703' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:48,545 DEBUG    Sent message '38 3703' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:48,645 DEBUG    Sent message '39 3711' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:48,645 DEBUG    Sent message '39 3711' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:48,745 DEBUG    Sent message '40 3709' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:48,746 DEBUG    Sent message '40 3709' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:48,846 DEBUG    Sent message '41 3682' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:48,846 DEBUG    Sent message '41 3682' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:48,946 DEBUG    Sent message '42 3919' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:48,946 DEBUG    Sent message '42 3919' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:49,047 DEBUG    Sent message '43 4006' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:49,047 DEBUG    Sent message '43 4006' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:49,147 DEBUG    Sent message '44 3870' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:49,147 DEBUG    Sent message '44 3870' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:49,247 DEBUG    Sent message '45 3675' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:49,247 DEBUG    Sent message '45 3675' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:49,348 DEBUG    Sent message '46 3585' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:49,348 DEBUG    Sent message '46 3585' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:49,448 DEBUG    Sent message '47 3743' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:49,448 DEBUG    Sent message '47 3743' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:49,548 DEBUG    Sent message '48 3507' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:49,548 DEBUG    Sent message '48 3507' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:49,649 DEBUG    Sent message '49 3438' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:49,649 DEBUG    Sent message '49 3438' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:49,749 DEBUG    Sent message '50 3540' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:49,749 DEBUG    Sent message '50 3540' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:49,849 DEBUG    Sent message '51 3833' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:49,850 DEBUG    Sent message '51 3833' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:49,950 DEBUG    Sent message '52 3668' to 127.0.0.1:51549
 server   | 2023-11-06 21:48:49,950 DEBUG    Sent message '52 3668' to 127.0.0.1:54730
 server   | 2023-11-06 21:48:50,050 DEBUG    Sent message '53 3844' to 127.0.0.1:51549
