 client 1 | 2023-11-06 21:42:48,047 INFO     Starting UDP client 1
 client 1 | 2023-11-06 21:42:48,047 INFO     Sent register message to server 127.0.0.1:7070
 client 1 | 2023-11-06 21:42:48,368 DEBUG    Received packet 1: 3735
 client 1 | 2023-11-06 21:42:48,468 DEBUG    Received packet 2: 3698
 client 1 | 2023-11-06 21:42:48,569 DEBUG    Received packet 3: 3594
 client 1 | 2023-11-06 21:42:48,669 DEBUG    Received packet 4: 3680
 client 1 | 2023-11-06 21:42:48,769 DEBUG    Received packet 5: 3738
 client 1 | 2023-11-06 21:42:48,869 DEBUG    Received packet 6: 3684
 client 1 | 2023-11-06 21:42:48,970 DEBUG    Received packet 7: 3661
 client 1 | 2023-11-06 21:42:49,070 DEBUG    Received packet 8: 3499
 client 1 | 2023-11-06 21:42:49,170 DEBUG    Received packet 9: 3623
 client 1 | 2023-11-06 21:42:49,271 DEBUG    Received packet 10: 3637
 client 1 | 2023-11-06 21:42:49,371 DEBUG    Received packet 11: 3608
 client 1 | 2023-11-06 21:42:49,471 DEBUG    Received packet 12: 3555
 client 1 | 2023-11-06 21:42:49,571 DEBUG    Received packet 13: 3620
 client 1 | 2023-11-06 21:42:49,672 DEBUG    Received packet 14: 3596
 client 1 | 2023-11-06 21:42:49,772 DEBUG    Received packet 15: 3650
 client 1 | 2023-11-06 21:42:49,872 DEBUG    Received packet 16: 3481
 client 1 | 2023-11-06 21:42:49,973 DEBUG    Received packet 17: 3519
 client 1 | 2023-11-06 21:42:50,073 DEBUG    Received packet 18: 3502
 client 2 | 2023-11-06 21:42:50,158 INFO     Starting UDP client 2
 client 2 | 2023-11-06 21:42:50,158 INFO     Sent register message to server 127.0.0.1:7070
 client 2 | 2023-11-06 21:42:50,173 DEBUG    Received packet 19: 3537
 client 1 | 2023-11-06 21:42:50,173 DEBUG    Received packet 19: 3537
 client 2 | 2023-11-06 21:42:50,274 DEBUG    Received packet 20: 3582
 client 1 | 2023-11-06 21:42:50,274 DEBUG    Received packet 20: 3582
 client 2 | 2023-11-06 21:42:50,374 DEBUG    Received packet 21: 3615
 client 1 | 2023-11-06 21:42:50,374 DEBUG    Received packet 21: 3615
 client 2 | 2023-11-06 21:42:50,474 DEBUG    Received packet 22: 3546
 client 1 | 2023-11-06 21:42:50,474 DEBUG    Received packet 22: 3546
 client 2 | 2023-11-06 21:42:50,575 DEBUG    Received packet 23: 3496
 client 1 | 2023-11-06 21:42:50,575 DEBUG    Received packet 23: 3496
 client 2 | 2023-11-06 21:42:50,675 DEBUG    Received packet 24: 3660
 client 1 | 2023-11-06 21:42:50,675 DEBUG    Received packet 24: 3660
 client 2 | 2023-11-06 21:42:50,775 DEBUG    Received packet 25: 3837
 client 1 | 2023-11-06 21:42:50,775 DEBUG    Received packet 25: 3837
 client 2 | 2023-11-06 21:42:50,876 DEBUG    Received packet 26: 3763
 client 1 | 2023-11-06 21:42:50,876 DEBUG    Received packet 26: 3763
 client 2 | 2023-11-06 21:42:50,976 DEBUG    Received packet 27: 3773
 client 1 | 2023-11-06 21:42:50,976 DEBUG    Received packet 27: 3773
 client 2 | 2023-11-06 21:42:51,076 DEBUG    Received packet 28: 3570
 client 1 | 2023-11-06 21:42:51,077 DEBUG    Received packet 28: 3570
 client 2 | 2023-11-06 21:42:51,177 DEBUG    Received packet 29: 3713
 client 1 | 2023-11-06 21:42:51,177 DEBUG    Received packet 29: 3713
 client 2 | 2023-11-06 21:42:51,277 DEBUG    Received packet 30: 3860
 client 1 | 2023-11-06 21:42:51,277 DEBUG    Received packet 30: 3860
 client 2 | 2023-11-06 21:42:51,377 DEBUG    Received packet 31: 4003
 client 1 | 2023-11-06 21:42:51,378 DEBUG    Received packet 31: 4003
 client 2 | 2023-11-06 21:42:51,478 DEBUG    Received packet 32: 3871
 client 1 | 2023-11-06 21:42:51,478 DEBUG    Received packet 32: 3871
 client 2 | 2023-11-06 21:42:51,578 DEBUG    Received packet 33: 3644
 client 1 | 2023-11-06 21:42:51,578 DEBUG    Received packet 33: 3644
 client 2 | 2023-11-06 21:42:51,679 DEBUG    Received packet 34: 3619
 client 1 | 2023-11-06 21:42:51,679 DEBUG    Received packet 34: 3619
