 server   | 2023-11-06 21:42:46,366 INFO     Starting UDP server on 127.0.0.1:7070
 server   | 2023-11-06 21:42:46,366 INFO     Waiting for any client to register...
 server   | 2023-11-06 21:42:48,047 INFO     Registered client 127.0.0.1:54364
 server   | 2023-11-06 21:42:48,368 INFO     Streaming started
 server   | 2023-11-06 21:42:48,368 DEBUG    Sent message '1 3735' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:48,468 DEBUG    Sent message '2 3698' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:48,569 DEBUG    Sent message '3 3594' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:48,669 DEBUG    Sent message '4 3680' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:48,769 DEBUG    Sent message '5 3738' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:48,869 DEBUG    Sent message '6 3684' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:48,970 DEBUG    Sent message '7 3661' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:49,070 DEBUG    Sent message '8 3499' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:49,170 DEBUG    Sent message '9 3623' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:49,271 DEBUG    Sent message '10 3637' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:49,371 DEBUG    Sent message '11 3608' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:49,471 DEBUG    Sent message '12 3555' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:49,571 DEBUG    Sent message '13 3620' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:49,672 DEBUG    Sent message '14 3596' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:49,772 DEBUG    Sent message '15 3650' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:49,872 DEBUG    Sent message '16 3481' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:49,973 DEBUG    Sent message '17 3519' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:50,073 DEBUG    Sent message '18 3502' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:50,158 INFO     Registered client 127.0.0.1:54842
 server   | 2023-11-06 21:42:50,173 DEBUG    Sent message '19 3537' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:50,173 DEBUG    Sent message '19 3537' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:50,274 DEBUG    Sent message '20 3582' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:50,274 DEBUG    Sent message '20 3582' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:50,374 DEBUG    Sent message '21 3615' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:50,374 DEBUG    Sent message '21 3615' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:50,474 DEBUG    Sent message '22 3546' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:50,474 DEBUG    Sent message '22 3546' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:50,575 DEBUG    Sent message '23 3496' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:50,575 DEBUG    Sent message '23 3496' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:50,675 DEBUG    Sent message '24 3660' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:50,675 DEBUG    Sent message '24 3660' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:50,775 DEBUG    Sent message '25 3837' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:50,775 DEBUG    Sent message '25 3837' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:50,876 DEBUG    Sent message '26 3763' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:50,876 DEBUG    Sent message '26 3763' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:50,976 DEBUG    Sent message '27 3773' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:50,976 DEBUG    Sent message '27 3773' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:51,076 DEBUG    Sent message '28 3570' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:51,077 DEBUG    Sent message '28 3570' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:51,177 DEBUG    Sent message '29 3713' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:51,177 DEBUG    Sent message '29 3713' to 127.0.0.1:54364
 server   | 2023-11-06 21:42:51,277 DEBUG    Sent message '30 3860' to 127.0.0.1:54842
 server   | 2023-11-06 21:42:51,277 DEBUG    Sent message '30 3860' to 127.0.0.1:54364
