 client 1 | 2023-11-06 21:44:26,096 INFO     Starting UDP client 1
 client 1 | 2023-11-06 21:44:26,096 INFO     Sent register message to server 127.0.0.1:7070
 client 1 | 2023-11-06 21:44:31,298 INFO     Sent quit message to server 127.0.0.1:7070
 client 1 | 2023-11-06 21:44:31,298 INFO     Lost packets: 0
 client 1 | 2023-11-06 21:44:31,298 INFO     Out of order packets: 0
 client 1 | 2023-11-06 21:44:31,298 INFO     Standard deviation: 126.84587104040872
 client 2 | 2023-11-06 21:44:33,262 INFO     Starting UDP client 2
 client 2 | 2023-11-06 21:44:33,262 INFO     Sent register message to server 127.0.0.1:7070
 client 2 | 2023-11-06 21:44:56,647 INFO     Got end of transmission
 client 2 | 2023-11-06 21:44:56,647 INFO     Lost packets: 68
 client 2 | 2023-11-06 21:44:56,647 INFO     Out of order packets: 0
 client 2 | 2023-11-06 21:44:56,647 INFO     Standard deviation: 1849.1784145151994
